time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330051898303479,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051904182916,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051912371630,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051914442321,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051921828689,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051924218233,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051928258022,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051934336022,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051935477771,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051944429669,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051946150474,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051954551742,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051955370512,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051964638984,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051965993447,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051974714028,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051975975560,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051984754201,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051985568950,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051994895818,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051996063040,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330052004971922,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
